Feature,Importance
17_velocity_sd,12
41_acceleration_mean,12
19_num_moves,12
33_velocity_min,12
41_angular_velocity_mean,12
42_pause_time,12
43_velocity_x_mean,12
22_acceleration_max,12
20_movement_distance,12
33_velocity_x_mean,12
20_velocity_min,12
39_acceleration_mean,12
39_pause_time,12
39_acceleration_min,12
32_angular_velocity_mean,12
45_jerk_sd,12
22_velocity_max,12
23_jerk_mean,12
40_velocity_sd,12
25_num_moves,12
3_velocity_x_mean,12
14_acceleration_min,12
9_velocity_x_mean,12
11_jerk_sd,12
7_velocity_sd,12
2_jerk_mean,12
12_total_time,12
2_flips_y,12
3_acceleration_max,12
1_flips_x,12
9_velocity_sd,12
8_acceleration_mean,12
14_acceleration_mean,12
5_jerk_sd,12
46_velocity_y_mean,11
25_jerk_sd,11
48_flips_y,11
49_acceleration_min,11
28_velocity_y_mean,11
10_jerk_mean,11
49_velocity_sd,11
11_velocity_y_mean,11
29_velocity_x_mean,11
29_jerk_mean,11
26_velocity_min,11
7_velocity_x_mean,11
40_acceleration_mean,11
25_acceleration_mean,11
18_angular_velocity_sd,11
21_acceleration_min,11
1_angular_velocity_sd,11
22_num_moves,11
48_velocity_mean,11
1_pause_time,11
12_flips_x,11
41_angular_velocity_sd,11
23_velocity_y_mean,11
5_acceleration_max,11
19_click_x_mean,11
47_angular_velocity_mean,11
40_jerk_mean,11
24_click_x_mean,11
24_acceleration_mean,11
24_total_time,11
30_click_x_mean,11
25_click_x_mean,11
30_num_moves,11
0_jerk_mean,11
5_jerk_mean,11
35_acceleration_max,11
3_jerk_sd,11
38_acceleration_mean,11
9_acceleration_min,11
38_acceleration_max,11
4_click_x_mean,11
33_velocity_y_mean,11
30_acceleration_mean,11
15_acceleration_max,11
34_click_x_mean,11
44_angular_velocity_sd,11
8_angular_velocity_sd,11
38_total_time,11
38_angular_velocity_sd,11
44_acceleration_mean,11
17_num_moves,11
9_jerk_mean,11
5_click_x_mean,11
30_angular_velocity_sd,11
32_velocity_max,11
36_velocity_max,11
9_angular_velocity_sd,11
7_angular_velocity_sd,11
43_total_time,11
13_velocity_x_mean,10
23_acceleration_min,10
1_velocity_sd,10
38_num_moves,10
41_velocity_x_mean,10
13_pause_time,10
37_velocity_sd,10
44_velocity_min,10
21_acceleration_sd,10
35_angular_velocity_sd,10
22_velocity_y_mean,10
47_pause_time,10
36_acceleration_max,10
22_movement_distance,10
23_pause_time,10
34_total_time,10
10_velocity_y_mean,10
47_angular_velocity_sd,10
43_velocity_sd,10
6_jerk_mean,10
39_acceleration_max,10
6_movement_duration,10
29_click_x_mean,10
10_total_time,10
3_velocity_sd,10
31_acceleration_min,10
31_jerk_mean,10
28_movement_distance,10
46_acceleration_mean,10
6_velocity_y_mean,10
34_angular_velocity_sd,10
11_acceleration_sd,10
26_angular_velocity_sd,10
47_movement_distance,10
47_velocity_mean,10
40_velocity_max,10
33_jerk_mean,10
25_velocity_y_mean,10
43_acceleration_max,10
